Name_on_tree_tip,xd_id,soc_id,fixed_order
Ache,xd920,B47,
Anambe,,,
Arawete,,,
AvaCanoeiro,,,
Aweti,xd1406,Si9,
Chiriguano,xd1394,Sh7,
Emerillon,,,
Guaja,,,
GuaraniParaguaio,,,
Guarayu,,,
Kaapor,,,
Kaiowa,,,
Kamaiura,xd1402,Si5,
Kayabi,,,
Kokama,xd1363,Se10,
Mawe,xd1357,Sd5,
Mbya,,,
Nandeva,,,
Omagua,,,
Parakana,,,
Parintintin,,,
Pauserna,,,
Siriono,xd1362,"Se1, B43, SCCS173",
Tapiete,,,
Tapirape,xd1354,Sd2,
Tembe,,,
Tocantins,,,
Tupinamba,xd1416,"Sj8, SCCS177",
Wayampi,,,
Xeta,xd921,B49,
Xingu,,,
Yuki,xd918,B44,
,,,
